Player ID,Full Name,Total Games,Total Points,Total Rebounds,Total Assists,Total Steals,Total Blocks,MVPs,Finals MVPs,All-Star Appearances,Peak PPG,Peak PPG Season,Peak RPG,Peak RPG Season,Peak APG,Peak APG Season,Peak SPG,Peak SPG Season,Peak BPG,Peak BPG Season,Total Seasons,Career Span,Position,Player Slug,Height,Country
200746,LaMarcus Aldridge,1102,20910,8854,2125,769,1216,0,0,7,23.4,2014-15,11.1,2013-14,2.6,2020-21,1,2010-11,2.2,2020-21,16,2006-07 - 2021-22,Center-Forward,lamarcus-aldridge,211,USA
951,Ray Allen,1376,26218,5653,4695,1554,258,0,0,10,26.4,2006-07,5.6,2002-03,5.9,2002-03,1.6,2002-03,0.3,2009-10,18,1996-97 - 2013-14,Guard,ray-allen,196,USA
2546,Carmelo Anthony,1337,30259,8371,3643,1291,690,0,0,10,28.9,2006-07,8.1,2013-14,4.2,2015-16,1.3,2009-10,0.8,2021-22,19,2003-04 - 2021-22,Forward,carmelo-anthony,201,USA
76054,Nate Archibald,876,16481,2046,6476,719,81,0,0,6,34,1972-73,3,1970-71,11.4,1972-73,1.7,1976-77,0.3,1976-77,13,1970-71 - 1983-84,Guard,nate-archibald,185,USA
787,Charles Barkley,1073,23757,12546,4215,1648,888,1,0,11,28.3,1987-88,14.6,1986-87,5.1,1992-93,2.2,1985-86,1.6,1985-86,16,1984-85 - 1999-00,Forward,charles-barkley,198,USA
600013,Rick Barry,794,18395,5168,4017,1104,269,0,1,8,35.6,1966-67,10.6,1965-66,6.3,1978-79,2.9,1974-75,0.7,1976-77,10,1965-66 - 1979-80,Forward,rick-barry,201,USA
76127,Elgin Baylor,846,23149,11463,3650,0,0,0,0,11,38.2,1961-62,19.8,1960-61,5.4,1969-70,0,1958-59,0,1958-59,14,1958-59 - 1971-72,Forward,elgin-baylor,196,USA
76144,Walt Bellamy,1290,25205,17303,3098,52,48,0,0,4,31.6,1961-62,19,1961-62,3.8,1969-70,0.7,1973-74,0.6,1973-74,14,1961-62 - 1974-75,Center,walt-bellamy,208,USA
1497,Chauncey Billups,1274,19303,3611,6843,1322,204,0,1,5,19.5,2009-10,5,2008-09,8.6,2005-06,1.5,1997-98,0.5,2008-09,17,1997-98 - 2013-14,Guard,chauncey-billups,190,USA
76166,Dave Bing,901,18327,3420,5397,483,89,0,0,7,27.1,1967-68,5,1968-69,7.8,1972-73,1.5,1974-75,0.3,1974-75,12,1966-67 - 1977-78,Guard,dave-bing,190,USA
1449,Larry Bird,897,21791,8974,5695,1556,755,3,2,12,29.9,1987-88,11,1982-83,7.6,1986-87,2,1985-86,1.2,1984-85,13,1979-80 - 1991-92,Forward,larry-bird,206,USA
177,Muggsy Bogues,950,7205,2450,7057,1436,42,0,0,0,11.1,1994-95,4.1,1993-94,10.7,1989-90,2.1,1991-92,0.1,1988-89,14,1987-88 - 2000-01,Guard,muggsy-bogues,160,USA
2430,Carlos Boozer,861,13976,8192,1928,765,346,0,0,2,21.1,2007-08,11.7,2006-07,3.2,2009-10,1.2,2007-08,0.7,2003-04,13,2002-03 - 2014-15,Forward,carlos-boozer,206,USA
2547,Chris Bosh,893,17189,7592,1795,730,932,0,0,11,24,2009-10,10.8,2009-10,2.6,2005-06,1,2013-14,1.4,2003-04,13,2003-04 - 2015-16,Forward,chris-bosh,211,USA
1882,Elton Brand,1058,16827,9040,2184,940,1828,0,0,2,24.7,2005-06,11.6,2001-02,3.3,2003-04,1.1,2002-03,2.5,2002-03,17,1999-00 - 2015-16,Forward,elton-brand,206,USA
76253,Bill Bridges,1118,12924,13143,3001,80,41,0,0,3,17.4,1966-67,15.1,1966-67,4.2,1969-70,0.9,1973-74,0.5,1973-74,13,1962-63 - 1974-75,Forward,bill-bridges,196,USA
136,P.J. Brown,1089,9870,8409,1661,912,1116,0,0,0,11.4,1998-99,9.8,2001-02,2.2,2004-05,1.1,1996-97,1.7,1994-95,15,1993-94 - 2007-08,Forward-Center,pj-brown,211,USA
977,Kobe Bryant,1346,33643,7047,6306,1944,640,1,2,18,35.4,2005-06,6.9,2002-03,6.3,2013-14,2.2,2002-03,1,1998-99,20,1996-97 - 2015-16,Forward-Guard,kobe-bryant,198,USA
262,Michael Cage,1140,8278,8646,1057,1050,725,0,0,0,15.7,1986-87,13,1987-88,1.6,1986-87,1.3,1987-88,1,1995-96,15,1984-85 - 1999-00,Center,michael-cage,206,USA
948,Marcus Camby,1106,10105,10914,2130,1112,2562,0,0,0,14.8,1996-97,13.1,2007-08,3.3,2007-08,1.4,2005-06,3.7,1997-98,17,1996-97 - 2012-13,Center-Forward,marcus-camby,211,USA
1713,Vince Carter,1691,28636,7282,5187,1706,956,0,0,8,27.6,2000-01,6,2006-07,5.1,2007-08,1.6,2001-02,1.5,1998-99,22,1998-99 - 2019-20,Guard-Forward,vince-carter,198,USA
76375,Wilt Chamberlain,1118,33953,25597,4893,0,0,4,1,13,50.4,1961-62,27.2,1960-61,8.6,1967-68,0,1959-60,0,1959-60,14,1959-60 - 1972-73,Center,wilt-chamberlain,216,USA
2199,Tyson Chandler,1215,9682,10774,1004,651,1358,0,0,1,11.8,2007-08,12.4,2006-07,1.2,2017-18,0.9,2011-12,1.8,2006-07,19,2001-02 - 2019-20,Center,tyson-chandler,213,USA
