ID,Full Name,Country,Unnamed: 3,Height,Position,Team Abbreviation,Team Full Name,Total Games,Total Points,Total Assists,Total Rebounds,Total Blocks,Total Steals,Avg Points,Avg Rebounds,Avg Assists,Avg Blocks,Avg Steals,Season Games,Season Points,Season Assists,Season Rebounds,Season Blocks,Season Steals,Season Avg Points,Season Avg Rebounds,Season Avg Assists,Season Avg Blocks,Season Avg Steals,Player Slug,Career Span
1630173,Precious Achiuwa,Nigeria,,203,Forward,SAC,Sacramento Kings,467,3721,511,2792,327,292,8.0,6.0,1.1,0.7,0.6,,,,,,,,,,,,precious-achiuwa,2020-21 - 2025-26
203500,Steven Adams,New Zealand,,211,Center,HOU,Houston Rockets,796,6930,1193,6391,723,668,8.7,8.0,1.5,0.9,0.8,,,,,,,,,,,,steven-adams,2013-14 - 2025-26
1628389,Bam Adebayo,USA,,206,Center-Forward,MIA,Miami Heat,640,10391,2276,5756,538,693,16.2,9.0,3.6,0.8,1.1,,,,,,,,,,,,bam-adebayo,2017-18 - 2025-26
1630583,Santi Aldama,Spain,,213,Forward-Center,DAL,Dallas Mavericks,278,2895,570,1513,172,183,10.4,5.4,2.1,0.6,0.7,,,,,,,,,,,,santi-aldama,2021-22 - 2025-26
1641725,Trey Alexander,USA,,196,Guard,UTA,Utah Jazz,33,79,20,23,3,8,2.4,0.7,0.6,0.1,0.2,,,,,,,,,,,,trey-alexander,2024-25 - 2025-26
1629638,Nickeil Alexander-Walker,Canada,,196,Guard,ATL,Atlanta Hawks,583,5937,1432,1504,236,436,10.2,2.6,2.5,0.4,0.7,,,,,,,,,,,,nickeil-alexander-walker,2019-20 - 2025-26
1628960,Grayson Allen,USA,,190,Guard,CHA,Charlotte Hornets,454,5091,1007,1371,125,362,11.2,3.0,2.2,0.3,0.8,,,,,,,,,,,,grayson-allen,2018-19 - 2025-26
1628386,Jarrett Allen,USA,,206,Center,CLE,Cleveland Cavaliers,687,8954,1154,6346,840,458,13.0,9.2,1.7,1.2,0.7,,,,,,,,,,,,jarrett-allen,2017-18 - 2025-26
1630631,Jose Alvarado,USA,,183,Guard,NYK,New York Knicks,365,2876,1182,847,62,403,7.9,2.3,3.2,0.2,1.1,,,,,,,,,,,,jose-alvarado,2021-22 - 2025-26
203937,Kyle Anderson,USA,,203,Forward-Guard,TOR,Toronto Raptors,861,5765,2375,3573,526,829,6.7,4.1,2.8,0.6,1.0,,,,,,,,,,,,kyle-anderson,2014-15 - 2025-26
1630828,Alex Antetokounmpo,Greece,,203,Forward,MIL,Milwaukee Bucks,6,19,1,6,1,0,3.2,1.0,0.2,0.2,0.0,,,,,,,,,,,,alex-antetokounmpo,2025-26 - 2025-26
203507,Giannis Antetokounmpo,Greece,,211,Forward,MIA,Miami Heat,895,21531,4484,8882,1088,995,24.1,9.9,5.0,1.2,1.1,,,,,,,,,,,,giannis-antetokounmpo,2013-14 - 2025-26
203648,Thanasis Antetokounmpo,Greece,,201,Forward,MIL,Milwaukee Bucks,232,528,130,337,37,68,2.3,1.5,0.6,0.2,0.3,,,,,,,,,,,,thanasis-antetokounmpo,2015-16 - 2025-26
1628384,OG Anunoby,United Kingdom,,201,Forward-Guard,NYK,New York Knicks,609,8184,1083,2703,373,809,13.4,4.4,1.8,0.6,1.3,,,,,,,,,,,,og-anunoby,2017-18 - 2025-26
1630166,Deni Avdija,Israel,,203,Forward,POR,Portland Trail Blazers,425,5643,1450,2690,200,338,13.3,6.3,3.4,0.5,0.8,,,,,,,,,,,,deni-avdija,2020-21 - 2025-26
1629028,Deandre Ayton,Bahamas,,213,Center,WAS,Washington Wizards,470,7439,708,4742,450,333,15.8,10.1,1.5,1.0,0.7,,,,,,,,,,,,deandre-ayton,2018-19 - 2025-26
1628963,Marvin Bagley III,USA,,208,Forward,DEN,Denver Nuggets,538,5992,525,3355,326,237,11.1,6.2,1.0,0.6,0.4,,,,,,,,,,,,marvin-bagley-iii,2018-19 - 2025-26
1642846,Ace Bailey,USA,,206,Forward,UTA,Utah Jazz,72,993,131,302,49,60,13.8,4.2,1.8,0.7,0.8,,,,,,,,,,,,ace-bailey,2025-26 - 2025-26
1630163,LaMelo Ball,USA,,201,Guard,MIN,Minnesota Timberwolves,303,6304,2224,1726,93,427,20.8,5.7,7.3,0.3,1.4,,,,,,,,,,,,lamelo-ball,2020-21 - 2025-26
